"","site_code","site_type","site_name","region","ca_mpa_name_short","site_pair","mpa_status","mpa_type","latitude","longitude","mpa_type.1","year","month","month_num","day","bruv","species_code","common_name","genus","species","family","order","class","subclass","trophic_group","broad_trophic","targeted","geog","op_code","max_n","taxonomic_unit"
"1","Dume","MPA","Dume Cove","South","Point Dume SMR","K","MPA","SMR",34.006167,-118.801237,"SMR",2019,"August",8,20,1,"AAFF","topsmelt","Atherinops","affinis","Atherinidae","Atheriniformes","Actinopteri","Teleostei","planktivore","planktivore","Targeted",5,"DUCO_20Aug19_bruv1",28,1
"2","Dume","MPA","Dume Cove","South","Point Dume SMR","K","MPA","SMR",34.006167,-118.801237,"SMR",2019,"August",8,20,1,"ADAV","sargo","Anisotremus","davidsonii","Haemulidae","Eupercaria incertae sedis","Actinopteri","Teleostei","benthic macro-invertivore","carnivore","Nontargeted",5,"DUCO_20Aug19_bruv1",2,1
"3","Dume","MPA","Dume Cove","South","Point Dume SMR","K","MPA","SMR",34.006167,-118.801237,"SMR",2019,"August",8,20,1,"GNIG","opaleye","Girella","nigricans","Kyphosidae","Centrarchiformes","Actinopteri","Teleostei","herbivore","herbivore","Targeted",5,"DUCO_20Aug19_bruv1",1,1
"4","Dume","MPA","Dume Cove","South","Point Dume SMR","K","MPA","SMR",34.006167,-118.801237,"SMR",2019,"August",8,20,1,"KAZU","zebra perch","Kyphosus","azureus","Kyphosidae","Centrarchiformes","Actinopteri","Teleostei","herbivore","herbivore","Targeted",5,"DUCO_20Aug19_bruv1",17,1
"5","Dume","MPA","Dume Cove","South","Point Dume SMR","K","MPA","SMR",34.006167,-118.801237,"SMR",2019,"August",8,20,1,"SPUL","california sheephead","Semicossyphus","pulcher","Labridae","Eupercaria incertae sedis","Actinopteri","Teleostei","benthic macro-invertivore","carnivore","Targeted",5,"DUCO_20Aug19_bruv1",1,1
"6","Dume","MPA","Dume Cove","South","Point Dume SMR","K","MPA","SMR",34.006167,-118.801237,"SMR",2019,"August",8,20,1,"BRAY","bat ray","Myliobatis","californica","Myliobatidae","Myliobatiformes","Elasmobranchii","Neoselachii","benthic micro-invertivore","carnivore","Nontargeted",5,"DUCO_20Aug19_bruv1",1,1
"7","Dume","MPA","Dume Cove","South","Point Dume SMR","K","MPA","SMR",34.006167,-118.801237,"SMR",2019,"August",8,20,1,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"DUCO_20Aug19_bruv1",1,0
"8","Dume","MPA","Dume Cove","South","Point Dume SMR","K","MPA","SMR",34.006167,-118.801237,"SMR",2019,"August",8,20,1,"PCLA","kelp bass","Paralabrax","clathratus","Serranidae","Perciformes","Actinopteri","Teleostei","piscivore","piscivore","Targeted",5,"DUCO_20Aug19_bruv1",5,1
"9","Dume","MPA","Dume Cove","South","Point Dume SMR","K","MPA","SMR",34.006167,-118.801237,"SMR",2019,"August",8,20,1,"TSEM","leopard shark","Triakis","semifasciata","Triakidae","Carcharhiniformes","Elasmobranchii","Neoselachii","benthic macro-invertivore","carnivore","Targeted",5,"DUCO_20Aug19_bruv1",2,1
"10","Dume","MPA","Dume Cove","South","Point Dume SMR","K","MPA","SMR",34.006167,-118.801237,"SMR",2019,"August",8,20,3,"EJAC","black perch","Embiotoca","jacksoni","Embiotocidae","Ovalentaria incertae sedis","Actinopteri","Teleostei","benthic micro-invertivore","carnivore","Targeted",5,"DUCO_20Aug19_bruv3",9,1
