"","region","year","mpa_status","site_name","ca_mpa_name_short","site_pair","haul_number","month_day_haul_no","species_code","common_name","count","tl_mm","sl_mm","scientificname_accepted","class","order","family","trophicgroup","broadtrophic","targeted","fish_length","fish_weight_individual","fish_weight","month_day","month","day"
"1","North",2019,"Reference","Doran","","D",4,"8_14_4","LARM","pacific staghorn sculpin",1,133,NA,"Leptocottus armatus","Actinopteri","Perciformes","Cottidae","benthic micro-invertivore","microbenthivore","Nontargeted",114.118885741265,0.0309641053764814,0.0309641053764814,"8_14","8",14
"2","Central",2019,"Reference","Stillwater Cove","Carmel Bay SMCA","H",3,"7_9_3","RVAC","pile perch",1,93,NA,"Rhacochilus vacca","Actinopteri","Ovalentaria incertae sedis","Embiotocidae","benthic macro-invertivore","microbenthivore","Targeted",NA,NA,NA,"7_9","7",9
"3","Central",2019,"Reference","Stillwater Cove","Carmel Bay SMCA","H",3,"7_9_3","HARG","walleye surfperch",1,80,NA,"Hyperprosopon argenteum","Actinopteri","Ovalentaria incertae sedis","Embiotocidae","benthic micro-invertivore","microbenthivore","Targeted",67.8541136556404,0.00822385187626817,0.00822385187626817,"7_9","7",9
"4","Central",2019,"Reference","Stillwater Cove","Carmel Bay SMCA","H",4,"7_9_4","HARG","walleye surfperch",1,75,NA,"Hyperprosopon argenteum","Actinopteri","Ovalentaria incertae sedis","Embiotocidae","benthic micro-invertivore","microbenthivore","Targeted",63.6132315521628,0.00667661780948943,0.00667661780948943,"7_9","7",9
"5","Central",2019,"Reference","Stillwater Cove","Carmel Bay SMCA","H",4,"7_9_4","HARG","walleye surfperch",1,89,NA,"Hyperprosopon argenteum","Actinopteri","Ovalentaria incertae sedis","Embiotocidae","benthic micro-invertivore","microbenthivore","Targeted",75.4877014418999,0.0116038255990846,0.0116038255990846,"7_9","7",9
"6","Central",2019,"Reference","Stillwater Cove","Carmel Bay SMCA","H",4,"7_9_4","HARG","walleye surfperch",1,80,NA,"Hyperprosopon argenteum","Actinopteri","Ovalentaria incertae sedis","Embiotocidae","benthic micro-invertivore","microbenthivore","Targeted",67.8541136556404,0.00822385187626817,0.00822385187626817,"7_9","7",9
"7","Central",2019,"Reference","Stillwater Cove","Carmel Bay SMCA","H",4,"7_9_4","HARG","walleye surfperch",1,78,NA,"Hyperprosopon argenteum","Actinopteri","Ovalentaria incertae sedis","Embiotocidae","benthic micro-invertivore","microbenthivore","Targeted",66.1577608142494,0.00757819342269457,0.00757819342269457,"7_9","7",9
"8","Central",2019,"Reference","Stillwater Cove","Carmel Bay SMCA","H",4,"7_9_4","HARG","walleye surfperch",1,70,NA,"Hyperprosopon argenteum","Actinopteri","Ovalentaria incertae sedis","Embiotocidae","benthic micro-invertivore","microbenthivore","Targeted",59.3723494486853,0.00534306289784517,0.00534306289784517,"7_9","7",9
"9","Central",2019,"Reference","Stillwater Cove","Carmel Bay SMCA","H",6,"7_9_6","HARG","walleye surfperch",1,64,NA,"Hyperprosopon argenteum","Actinopteri","Ovalentaria incertae sedis","Embiotocidae","benthic micro-invertivore","microbenthivore","Targeted",54.2832909245123,0.0040004089701349,0.0040004089701349,"7_9","7",9
"10","Central",2019,"Reference","Stillwater Cove","Carmel Bay SMCA","H",6,"7_9_6","HARG","walleye surfperch",1,74,NA,"Hyperprosopon argenteum","Actinopteri","Ovalentaria incertae sedis","Embiotocidae","benthic micro-invertivore","microbenthivore","Targeted",62.7650551314673,0.00639337245063354,0.00639337245063354,"7_9","7",9
"11","Central",2019,"Reference","Stillwater Cove","Carmel Bay SMCA","H",6,"7_9_6","MMIN","dwarf surfperch",1,111,NA,"Micrometrus minimus","Actinopteri","Ovalentaria incertae sedis","Embiotocidae","benthic micro-invertivore","microbenthivore","Nontargeted",93.0972827458568,0.0256855552028156,0.0256855552028156,"7_9","7",9
"12","Central",2019,"Reference","Stillwater Cove","Carmel Bay SMCA","H",6,"7_9_6","HARG","walleye surfperch",1,82,NA,"Hyperprosopon argenteum","Actinopteri","Ovalentaria incertae sedis","Embiotocidae","benthic micro-invertivore","microbenthivore","Targeted",69.5504664970314,0.00890651908225588,0.00890651908225588,"7_9","7",9
"13","Central",2019,"Reference","Stillwater Cove","Carmel Bay SMCA","H",6,"7_9_6","MMIN","dwarf surfperch",1,76,NA,"Micrometrus minimus","Actinopteri","Ovalentaria incertae sedis","Embiotocidae","benthic micro-invertivore","microbenthivore","Nontargeted",63.6533524017835,0.00814840289676274,0.00814840289676274,"7_9","7",9
